Temperature,TotalWireLength,,Cooling  Rate,0.95,0.9,0.85,0.8,0.75
3.45E+06,6908,,Total Wire Length,1810,1965,2033,2039,2099
3.28E+06,6869,,,,,,,
3.12E+06,6839,,,,,,,
2.96E+06,6768,,,,,,,
2.81E+06,7059,,,,,,,
2.67E+06,6965,,,,,,,
2.54E+06,6961,,,,,,,
2.41E+06,6728,,,,,,,
2.29E+06,7035,,,,,,,
2.18E+06,7093,,,,,,,
2.07E+06,6907,,,,,,,
1.96E+06,7038,,,,,,,
1.87E+06,6724,,,,,,,
1.77E+06,6973,,,,,,,
1.68E+06,6982,,,,,,,
1.60E+06,6853,,,,,,,
1.52E+06,6774,,,,,,,
1.44E+06,6746,,,,,,,
1.37E+06,6962,,,,,,,
1.30E+06,6796,,,,,,,
1.24E+06,7041,,,,,,,
1.18E+06,7039,,,,,,,
1.12E+06,6939,,,,,,,
1.06E+06,6929,,,,,,,
1.01E+06,7018,,,,,,,
958104,6944,,,,,,,
910198,6974,,,,,,,
864688,6860,,,,,,,
821454,6930,,,,,,,
780381,6731,,,,,,,
741362,7013,,,,,,,
704294,6738,,,,,,,
669079,6986,,,,,,,
635625,6812,,,,,,,
603844,6887,,,,,,,
573652,6929,,,,,,,
544969,6901,,,,,,,
517721,7053,,,,,,,
491835,7085,,,,,,,
467243,6880,,,,,,,
443881,6818,,,,,,,
421687,6878,,,,,,,
400603,7033,,,,,,,
380572,7010,,,,,,,
361544,6805,,,,,,,
343467,7073,,,,,,,
326293,6764,,,,,,,
309979,6963,,,,,,,
294480,6853,,,,,,,
279756,6738,,,,,,,
265768,6753,,,,,,,
252480,6729,,,,,,,
239856,6685,,,,,,,
227863,6856,,,,,,,
216470,6819,,,,,,,
205646,7031,,,,,,,
195364,7176,,,,,,,
185596,6805,,,,,,,
176316,6998,,,,,,,
167500,6849,,,,,,,
159125,7102,,,,,,,
151169,7033,,,,,,,
143610,6962,,,,,,,
136430,6924,,,,,,,
129608,6826,,,,,,,
123128,6945,,,,,,,
116972,7119,,,,,,,
111123,6814,,,,,,,
105567,7070,,,,,,,
100288,6760,,,,,,,
95274.1,6957,,,,,,,
90510.4,7016,,,,,,,
85984.8,6858,,,,,,,
81685.6,6817,,,,,,,
77601.3,6822,,,,,,,
73721.3,6936,,,,,,,
70035.2,6793,,,,,,,
66533.4,6863,,,,,,,
63206.8,6961,,,,,,,
60046.4,6836,,,,,,,
57044.1,6892,,,,,,,
54191.9,6998,,,,,,,
51482.3,6800,,,,,,,
48908.2,6987,,,,,,,
46462.8,6880,,,,,,,
44139.6,6885,,,,,,,
41932.7,6855,,,,,,,
39836,6752,,,,,,,
37844.2,7092,,,,,,,
35952,7013,,,,,,,
34154.4,7028,,,,,,,
32446.7,7020,,,,,,,
30824.4,6764,,,,,,,
29283.1,6884,,,,,,,
27819,6958,,,,,,,
26428,6876,,,,,,,
25106.6,7093,,,,,,,
23851.3,7090,,,,,,,
22658.7,7000,,,,,,,
21525.8,6826,,,,,,,
20449.5,6845,,,,,,,
19427,7109,,,,,,,
18455.7,6819,,,,,,,
17532.9,7145,,,,,,,
16656.3,7149,,,,,,,
15823.4,6838,,,,,,,
15032.3,6946,,,,,,,
14280.7,6779,,,,,,,
13566.6,6822,,,,,,,
12888.3,6818,,,,,,,
12243.9,6881,,,,,,,
11631.7,6655,,,,,,,
11050.1,6945,,,,,,,
10497.6,6841,,,,,,,
9972.71,6873,,,,,,,
9474.08,6812,,,,,,,
9000.37,6836,,,,,,,
8550.36,6811,,,,,,,
8122.84,6652,,,,,,,
7716.7,6847,,,,,,,
7330.86,6896,,,,,,,
6964.32,7015,,,,,,,
6616.1,6909,,,,,,,
6285.3,6675,,,,,,,
5971.03,6863,,,,,,,
5672.48,6730,,,,,,,
5388.86,6850,,,,,,,
5119.41,6800,,,,,,,
4863.44,6760,,,,,,,
4620.27,6935,,,,,,,
4389.26,6894,,,,,,,
4169.79,6790,,,,,,,
3961.3,6995,,,,,,,
3763.24,7089,,,,,,,
3575.08,6802,,,,,,,
3396.32,6784,,,,,,,
3226.51,7038,,,,,,,
3065.18,6866,,,,,,,
2911.92,6930,,,,,,,
2766.33,6840,,,,,,,
2628.01,6929,,,,,,,
2496.61,6964,,,,,,,
