Temperature,TotalWireLength,,Cooling  Rate,0.95,0.9,0.85,0.8,0.75
39500,79,,Total Wire Length,34,34,35,35,35
37525,102,,,,,,,
35648.8,93,,,,,,,
33866.3,91,,,,,,,
32173,98,,,,,,,
30564.3,93,,,,,,,
29036.1,91,,,,,,,
27584.3,107,,,,,,,
26205.1,88,,,,,,,
24894.9,89,,,,,,,
23650.1,86,,,,,,,
22467.6,85,,,,,,,
21344.2,102,,,,,,,
20277,105,,,,,,,
19263.2,97,,,,,,,
18300,93,,,,,,,
17385,105,,,,,,,
16515.8,77,,,,,,,
15690,93,,,,,,,
14905.5,97,,,,,,,
14160.2,97,,,,,,,
13452.2,83,,,,,,,
12779.6,85,,,,,,,
12140.6,103,,,,,,,
11533.6,89,,,,,,,
10956.9,103,,,,,,,
10409,90,,,,,,,
9888.59,95,,,,,,,
9394.16,83,,,,,,,
8924.45,97,,,,,,,
8478.23,93,,,,,,,
8054.32,91,,,,,,,
7651.6,97,,,,,,,
7269.02,90,,,,,,,
6905.57,75,,,,,,,
6560.29,82,,,,,,,
6232.28,98,,,,,,,
5920.67,84,,,,,,,
5624.63,97,,,,,,,
5343.4,95,,,,,,,
5076.23,92,,,,,,,
4822.42,103,,,,,,,
4581.3,80,,,,,,,
4352.23,88,,,,,,,
4134.62,90,,,,,,,
3927.89,84,,,,,,,
3731.5,81,,,,,,,
3544.92,93,,,,,,,
3367.67,89,,,,,,,
3199.29,86,,,,,,,
3039.33,82,,,,,,,
2887.36,105,,,,,,,
2742.99,84,,,,,,,
2605.84,96,,,,,,,
2475.55,94,,,,,,,
2351.77,86,,,,,,,
2234.18,86,,,,,,,
2122.48,88,,,,,,,
2016.35,88,,,,,,,
1915.53,87,,,,,,,
1819.76,96,,,,,,,
1728.77,81,,,,,,,
1642.33,101,,,,,,,
1560.21,93,,,,,,,
1482.2,88,,,,,,,
1408.09,89,,,,,,,
1337.69,101,,,,,,,
1270.8,87,,,,,,,
1207.26,91,,,,,,,
1146.9,92,,,,,,,
1089.56,90,,,,,,,
1035.08,89,,,,,,,
983.324,92,,,,,,,
934.158,81,,,,,,,
887.45,93,,,,,,,
843.077,91,,,,,,,
800.924,82,,,,,,,
760.877,97,,,,,,,
722.834,84,,,,,,,
686.692,79,,,,,,,
652.357,85,,,,,,,
619.739,97,,,,,,,
588.752,102,,,,,,,
559.315,102,,,,,,,
531.349,95,,,,,,,
504.782,74,,,,,,,
479.543,93,,,,,,,
455.565,88,,,,,,,
432.787,107,,,,,,,
411.148,85,,,,,,,
390.59,76,,,,,,,
371.061,103,,,,,,,
352.508,89,,,,,,,
334.882,94,,,,,,,
318.138,93,,,,,,,
302.231,84,,,,,,,
287.12,87,,,,,,,
272.764,81,,,,,,,
259.126,87,,,,,,,
246.169,90,,,,,,,
233.861,88,,,,,,,
222.168,102,,,,,,,
211.059,75,,,,,,,
200.506,95,,,,,,,
190.481,86,,,,,,,
180.957,84,,,,,,,
171.909,96,,,,,,,
163.314,88,,,,,,,
155.148,91,,,,,,,
147.391,88,,,,,,,
140.021,79,,,,,,,
133.02,84,,,,,,,
126.369,91,,,,,,,
120.051,74,,,,,,,
114.048,96,,,,,,,
108.346,83,,,,,,,
102.928,103,,,,,,,
97.782,79,,,,,,,
92.8929,92,,,,,,,
88.2483,81,,,,,,,
83.8358,86,,,,,,,
79.644,96,,,,,,,
75.6618,79,,,,,,,
71.8788,98,,,,,,,
68.2848,87,,,,,,,
64.8706,75,,,,,,,
61.627,83,,,,,,,
58.5457,83,,,,,,,
55.6184,91,,,,,,,
52.8375,81,,,,,,,
50.1956,82,,,,,,,
47.6858,79,,,,,,,
45.3015,87,,,,,,,
43.0365,98,,,,,,,
40.8846,78,,,,,,,
38.8404,82,,,,,,,
36.8984,93,,,,,,,
35.0535,99,,,,,,,
33.3008,88,,,,,,,
31.6358,108,,,,,,,
30.054,79,,,,,,,
28.5513,93,,,,,,,
27.1237,83,,,,,,,
25.7675,77,,,,,,,
24.4791,86,,,,,,,
23.2552,87,,,,,,,
22.0924,74,,,,,,,
20.9878,89,,,,,,,
