Temperature,TotalWireLength,,,,,,,
118.728,3795,,,,,,,
112.792,3942,,,,,,,
107.152,3804,,,,,,,
101.794,3973,,,,,,,
96.7047,3851,,,,,,,
91.8694,3777,,,,,,,
87.276,3854,,,,,,,
82.9122,3790,,,,,,,
78.7665,3787,,,,,,,
74.8282,4005,,,,,,,
71.0868,3612,,,,,,,
67.5325,3776,,,,,,,
64.1558,3743,,,,,,,
60.9481,3749,,,,,,,
57.9006,3769,,,,,,,
55.0056,3812,,,,,,,
52.2553,3876,,,,,,,
49.6426,3835,,,,,,,
47.1604,3727,,,,,,,
44.8024,3686,,,,,,,
42.5623,3741,,,,,,,
40.4342,3773,,,,,,,
38.4125,3780,,,,,,,
36.4918,3825,,,,,,,
34.6673,3697,,,,,,,
32.9339,3784,,,,,,,
31.2872,3823,,,,,,,
29.7228,3813,,,,,,,
28.2367,3535,,,,,,,
26.8249,3701,,,,,,,
25.4836,3669,,,,,,,
24.2094,3668,,,,,,,
22.999,3723,,,,,,,
21.849,3545,,,,,,,
20.7566,3646,,,,,,,
19.7187,3532,,,,,,,
18.7328,3585,,,,,,,
17.7962,3381,,,,,,,
16.9064,3407,,,,,,,
16.061,3627,,,,,,,
15.258,3375,,,,,,,
14.4951,3605,,,,,,,
13.7703,3466,,,,,,,
13.0818,3620,,,,,,,
12.4277,3378,,,,,,,
11.8063,3453,,,,,,,
11.216,3305,,,,,,,
10.6552,3196,,,,,,,
10.1225,3268,,,,,,,
9.61634,3309,,,,,,,
9.13552,2995,,,,,,,
8.67874,3156,,,,,,,
8.24481,2966,,,,,,,
7.83257,3207,,,,,,,
7.44094,2847,,,,,,,
7.06889,2886,,,,,,,
6.71545,2903,,,,,,,
6.37967,2781,,,,,,,
6.06069,2742,,,,,,,
5.75766,2842,,,,,,,
5.46977,2631,,,,,,,
5.19628,2880,,,,,,,
4.93647,2612,,,,,,,
4.68965,2638,,,,,,,
4.45516,2458,,,,,,,
4.23241,2450,,,,,,,
4.02079,2395,,,,,,,
3.81975,2191,,,,,,,
3.62876,2316,,,,,,,
3.44732,2036,,,,,,,
3.27495,2071,,,,,,,
3.11121,2067,,,,,,,
2.95565,1928,,,,,,,
2.80786,1933,,,,,,,
2.66747,1869,,,,,,,
2.5341,1837,,,,,,,
2.40739,1807,,,,,,,
2.28702,1736,,,,,,,
2.17267,1691,,,,,,,
2.06404,1636,,,,,,,
1.96084,1607,,,,,,,
1.86279,1611,,,,,,,
1.76965,1560,,,,,,,
1.68117,1578,,,,,,,
1.59711,1559,,,,,,,
1.51726,1464,,,,,,,
1.44139,1455,,,,,,,
