Temperature,TotalWireLength,,Cooling  Rate,0.95,0.9,0.85,0.8,0.75
0.000203942,884,,,,,,,
0.000193745,884,,,,,,,
0.000184057,884,,,,,,,
0.000174854,884,,,,,,,
0.000166112,884,,,,,,,
0.000157806,884,,,,,,,
0.000149916,884,,,,,,,
0.00014242,884,,,,,,,
0.000135299,884,,,,,,,
0.000128534,884,,,,,,,
0.000122107,884,,,,,,,
0.000116002,884,,,,,,,
0.000110202,883,,,,,,,
0.000104692,883,,,,,,,
9.95E-05,883,,,,,,,
9.45E-05,883,,,,,,,
8.98E-05,883,,,,,,,
8.53E-05,883,,,,,,,
