Temperature,TotalWireLength,,Cooling  Rate,0.95,0.9,0.85,0.8,0.75
1.85E+06,3699,,Total Wire Length,869,901,922,944,962
1.76E+06,3650,,,,,,,
1.67E+06,3549,,,,,,,
1.59E+06,3643,,,,,,,
1.51E+06,3569,,,,,,,
1.43E+06,3608,,,,,,,
1.36E+06,3759,,,,,,,
1.29E+06,3495,,,,,,,
1.23E+06,3693,,,,,,,
1.17E+06,3501,,,,,,,
1.11E+06,3550,,,,,,,
1.05E+06,3406,,,,,,,
999396,3707,,,,,,,
949426,3590,,,,,,,
901955,3560,,,,,,,
856857,3605,,,,,,,
814014,3519,,,,,,,
773314,3705,,,,,,,
734648,3575,,,,,,,
697915,3457,,,,,,,
663020,3610,,,,,,,
629869,3555,,,,,,,
598375,3604,,,,,,,
568457,3735,,,,,,,
540034,3677,,,,,,,
513032,3833,,,,,,,
487380,3690,,,,,,,
463011,3591,,,,,,,
439861,3684,,,,,,,
417868,3667,,,,,,,
396974,3671,,,,,,,
377126,3669,,,,,,,
358269,3651,,,,,,,
340356,3690,,,,,,,
323338,3542,,,,,,,
307171,3596,,,,,,,
291813,3374,,,,,,,
277222,3611,,,,,,,
263361,3502,,,,,,,
250193,3781,,,,,,,
237683,3543,,,,,,,
225799,3780,,,,,,,
214509,3823,,,,,,,
203784,3616,,,,,,,
193594,3628,,,,,,,
183915,3530,,,,,,,
174719,3873,,,,,,,
165983,3447,,,,,,,
157684,3603,,,,,,,
149800,3710,,,,,,,
142310,3670,,,,,,,
135194,3807,,,,,,,
128435,3489,,,,,,,
122013,3522,,,,,,,
115912,3716,,,,,,,
110117,3618,,,,,,,
104611,3662,,,,,,,
99380.2,3877,,,,,,,
94411.2,3603,,,,,,,
89690.6,3619,,,,,,,
85206.1,3547,,,,,,,
80945.8,3553,,,,,,,
76898.5,3618,,,,,,,
73053.6,3584,,,,,,,
69400.9,3735,,,,,,,
65930.9,3620,,,,,,,
62634.3,3630,,,,,,,
59502.6,3777,,,,,,,
56527.5,3547,,,,,,,
53701.1,3707,,,,,,,
51016,3742,,,,,,,
48465.2,3754,,,,,,,
46042,3559,,,,,,,
43739.9,3369,,,,,,,
41552.9,3528,,,,,,,
39475.2,3724,,,,,,,
37501.5,3529,,,,,,,
35626.4,3671,,,,,,,
33845.1,3648,,,,,,,
32152.8,3428,,,,,,,
30545.2,3606,,,,,,,
29017.9,3669,,,,,,,
27567,3549,,,,,,,
26188.7,3436,,,,,,,
24879.2,3457,,,,,,,
23635.3,3713,,,,,,,
22453.5,3786,,,,,,,
21330.8,3594,,,,,,,
20264.3,3642,,,,,,,
19251.1,3729,,,,,,,
18288.5,3663,,,,,,,
17374.1,3655,,,,,,,
16505.4,3513,,,,,,,
15680.1,3799,,,,,,,
14896.1,3467,,,,,,,
14151.3,3621,,,,,,,
13443.8,3632,,,,,,,
12771.6,3587,,,,,,,
12133,3690,,,,,,,
11526.3,3556,,,,,,,
10950,3440,,,,,,,
10402.5,3499,,,,,,,
9882.39,3530,,,,,,,
9388.27,3763,,,,,,,
8918.86,3529,,,,,,,
8472.92,3711,,,,,,,
8049.27,3545,,,,,,,
7646.81,3631,,,,,,,
7264.47,3887,,,,,,,
6901.24,3704,,,,,,,
6556.18,3607,,,,,,,
6228.37,3486,,,,,,,
5916.95,3574,,,,,,,
5621.11,3643,,,,,,,
5340.05,3593,,,,,,,
5073.05,3541,,,,,,,
4819.4,3555,,,,,,,
4578.43,3804,,,,,,,
4349.5,3609,,,,,,,
4132.03,3595,,,,,,,
3925.43,3522,,,,,,,
3729.16,3492,,,,,,,
3542.7,3577,,,,,,,
3365.56,3511,,,,,,,
3197.29,3635,,,,,,,
3037.42,3576,,,,,,,
2885.55,3675,,,,,,,
2741.27,3576,,,,,,,
2604.21,3610,,,,,,,
2474,3499,,,,,,,
2350.3,3498,,,,,,,
2232.78,3605,,,,,,,
2121.14,3711,,,,,,,
2015.09,3566,,,,,,,
1914.33,3842,,,,,,,
1818.62,3303,,,,,,,
1727.69,3480,,,,,,,
1641.3,3533,,,,,,,
1559.24,3631,,,,,,,
1481.27,3671,,,,,,,
1407.21,3705,,,,,,,
1336.85,3603,,,,,,,
1270.01,3590,,,,,,,
1206.51,3606,,,,,,,
1146.18,3447,,,,,,,
1088.87,3565,,,,,,,
1034.43,3520,,,,,,,
982.708,3510,,,,,,,
933.572,3591,,,,,,,
886.894,3633,,,,,,,
842.549,3579,,,,,,,
800.421,3669,,,,,,,
760.4,3689,,,,,,,
722.38,3484,,,,,,,
686.261,3670,,,,,,,
651.948,3691,,,,,,,
619.351,3612,,,,,,,
588.383,3413,,,,,,,
558.964,3766,,,,,,,
531.016,3682,,,,,,,
504.465,3527,,,,,,,
479.242,3698,,,,,,,
455.28,3490,,,,,,,
432.516,3535,,,,,,,
410.89,3660,,,,,,,
390.346,3528,,,,,,,
370.828,3533,,,,,,,
352.287,3629,,,,,,,
334.672,3607,,,,,,,
317.939,3646,,,,,,,
302.042,3699,,,,,,,
286.94,3439,,,,,,,
272.593,3691,,,,,,,
258.963,3563,,,,,,,
246.015,3613,,,,,,,
233.714,3646,,,,,,,
222.029,3628,,,,,,,
210.927,3765,,,,,,,
200.381,3641,,,,,,,
190.362,3485,,,,,,,
180.844,3432,,,,,,,
171.801,3426,,,,,,,
163.211,3583,,,,,,,
155.051,3556,,,,,,,
147.298,3513,,,,,,,
139.933,3426,,,,,,,
132.937,3612,,,,,,,
126.29,3546,,,,,,,
119.975,3484,,,,,,,
113.977,3804,,,,,,,
108.278,3578,,,,,,,
102.864,3498,,,,,,,
97.7207,3358,,,,,,,
92.8347,3582,,,,,,,
88.1929,3540,,,,,,,
83.7833,3635,,,,,,,
79.5941,3417,,,,,,,
75.6144,3459,,,,,,,
71.8337,3503,,,,,,,
68.242,3592,,,,,,,
64.8299,3437,,,,,,,
61.5884,3400,,,,,,,
58.509,3491,,,,,,,
55.5835,3401,,,,,,,
52.8044,3581,,,,,,,
50.1641,3401,,,,,,,
47.6559,3475,,,,,,,
45.2731,3478,,,,,,,
43.0095,3287,,,,,,,
40.859,3460,,,,,,,
38.8161,3373,,,,,,,
36.8753,3426,,,,,,,
35.0315,3393,,,,,,,
33.2799,3276,,,,,,,
31.6159,3221,,,,,,,
30.0351,3331,,,,,,,
28.5334,3220,,,,,,,
27.1067,3132,,,,,,,
25.7514,3196,,,,,,,
24.4638,3343,,,,,,,
23.2406,3286,,,,,,,
22.0786,3125,,,,,,,
20.9746,3235,,,,,,,
19.9259,3074,,,,,,,
18.9296,3152,,,,,,,
17.9831,3058,,,,,,,
17.084,3107,,,,,,,
16.2298,3159,,,,,,,
15.4183,3070,,,,,,,
14.6474,3017,,,,,,,
13.915,3041,,,,,,,
13.2193,3150,,,,,,,
12.5583,2964,,,,,,,
11.9304,2801,,,,,,,
11.3339,2834,,,,,,,
10.7672,2800,,,,,,,
10.2288,2929,,,,,,,
9.71737,2642,,,,,,,
9.2315,2713,,,,,,,
8.76993,2699,,,,,,,
8.33143,2734,,,,,,,
7.91486,2544,,,,,,,
7.51912,2550,,,,,,,
7.14316,2605,,,,,,,
6.786,2485,,,,,,,
6.4467,2394,,,,,,,
6.12437,2397,,,,,,,
5.81815,2420,,,,,,,
5.52724,2265,,,,,,,
5.25088,2264,,,,,,,
4.98834,2316,,,,,,,
4.73892,2182,,,,,,,
4.50197,2120,,,,,,,
4.27687,1980,,,,,,,
4.06303,2026,,,,,,,
3.85988,1950,,,,,,,
3.66688,2039,,,,,,,
3.48354,1842,,,,,,,
3.30936,1733,,,,,,,
3.1439,1781,,,,,,,
2.9867,1820,,,,,,,
2.83737,1778,,,,,,,
2.6955,1820,,,,,,,
2.56072,1598,,,,,,,
2.43269,1592,,,,,,,
2.31105,1512,,,,,,,
2.1955,1553,,,,,,,
2.08572,1596,,,,,,,
1.98144,1590,,,,,,,
1.88237,1462,,,,,,,
1.78825,1465,,,,,,,
1.69884,1363,,,,,,,
1.61389,1393,,,,,,,
1.5332,1342,,,,,,,
1.45654,1313,,,,,,,
1.38371,1301,,,,,,,
1.31453,1265,,,,,,,
1.2488,1266,,,,,,,
1.18636,1242,,,,,,,
1.12704,1185,,,,,,,
1.07069,1204,,,,,,,
1.01716,1146,,,,,,,
0.966298,1130,,,,,,,
0.917983,1136,,,,,,,
0.872084,1129,,,,,,,
0.82848,1116,,,,,,,
0.787056,1114,,,,,,,
0.747703,1111,,,,,,,
0.710318,1098,,,,,,,
0.674802,1084,,,,,,,
0.641062,1064,,,,,,,
0.609009,1054,,,,,,,
0.578558,1047,,,,,,,
0.54963,1039,,,,,,,
0.522149,1028,,,,,,,
0.496041,1010,,,,,,,
0.471239,1016,,,,,,,
0.447677,1002,,,,,,,
0.425293,1005,,,,,,,
0.404029,994,,,,,,,
0.383827,981,,,,,,,
0.364636,972,,,,,,,
0.346404,971,,,,,,,
0.329084,967,,,,,,,
0.31263,966,,,,,,,
0.296998,959,,,,,,,
0.282148,958,,,,,,,
0.268041,957,,,,,,,
0.254639,957,,,,,,,
0.241907,951,,,,,,,
0.229812,950,,,,,,,
0.218321,943,,,,,,,
0.207405,941,,,,,,,
0.197035,939,,,,,,,
0.187183,936,,,,,,,
0.177824,935,,,,,,,
0.168933,933,,,,,,,
0.160486,933,,,,,,,
0.152462,933,,,,,,,
0.144839,927,,,,,,,
0.137597,926,,,,,,,
0.130717,926,,,,,,,
0.124181,925,,,,,,,
0.117972,924,,,,,,,
0.112073,921,,,,,,,
0.10647,921,,,,,,,
0.101146,920,,,,,,,
0.0960889,917,,,,,,,
0.0912845,917,,,,,,,
0.0867202,917,,,,,,,
0.0823842,916,,,,,,,
0.078265,914,,,,,,,
0.0743518,913,,,,,,,
0.0706342,913,,,,,,,
0.0671025,912,,,,,,,
0.0637473,912,,,,,,,
0.06056,912,,,,,,,
0.057532,910,,,,,,,
0.0546554,910,,,,,,,
0.0519226,910,,,,,,,
0.0493265,909,,,,,,,
0.0468602,908,,,,,,,
0.0445171,907,,,,,,,
0.0422913,907,,,,,,,
0.0401767,906,,,,,,,
0.0381679,906,,,,,,,
0.0362595,905,,,,,,,
0.0344465,905,,,,,,,
0.0327242,905,,,,,,,
0.031088,905,,,,,,,
0.0295336,905,,,,,,,
0.0280569,903,,,,,,,
0.0266541,903,,,,,,,
0.0253214,903,,,,,,,
0.0240553,903,,,,,,,
0.0228525,903,,,,,,,
0.0217099,903,,,,,,,
0.0206244,903,,,,,,,
0.0195932,903,,,,,,,
0.0186135,903,,,,,,,
0.0176828,903,,,,,,,
0.0167987,902,,,,,,,
0.0159588,900,,,,,,,
0.0151608,900,,,,,,,
0.0144028,900,,,,,,,
0.0136827,900,,,,,,,
0.0129985,899,,,,,,,
0.0123486,898,,,,,,,
0.0117312,898,,,,,,,
0.0111446,898,,,,,,,
0.0105874,898,,,,,,,
0.010058,898,,,,,,,
0.00955511,898,,,,,,,
0.00907735,897,,,,,,,
0.00862348,897,,,,,,,
0.00819231,897,,,,,,,
0.00778269,896,,,,,,,
0.00739356,896,,,,,,,
0.00702388,896,,,,,,,
0.00667269,896,,,,,,,
0.00633905,896,,,,,,,
0.0060221,896,,,,,,,
0.00572099,895,,,,,,,
0.00543495,895,,,,,,,
0.0051632,895,,,,,,,
0.00490504,895,,,,,,,
0.00465979,894,,,,,,,
0.0044268,894,,,,,,,
0.00420546,894,,,,,,,
0.00399518,894,,,,,,,
0.00379542,894,,,,,,,
0.00360565,894,,,,,,,
0.00342537,893,,,,,,,
0.0032541,893,,,,,,,
0.0030914,893,,,,,,,
0.00293683,893,,,,,,,
0.00278999,893,,,,,,,
0.00265049,893,,,,,,,
0.00251796,893,,,,,,,
0.00239206,893,,,,,,,
0.00227246,893,,,,,,,
0.00215884,893,,,,,,,
0.0020509,893,,,,,,,
0.00194835,893,,,,,,,
0.00185093,893,,,,,,,
0.00175839,892,,,,,,,
0.00167047,891,,,,,,,
0.00158694,890,,,,,,,
0.0015076,890,,,,,,,
0.00143222,890,,,,,,,
0.00136061,890,,,,,,,
0.00129258,890,,,,,,,
0.00122795,890,,,,,,,
0.00116655,890,,,,,,,
0.00110822,890,,,,,,,
0.00105281,890,,,,,,,
0.00100017,889,,,,,,,
0.000950162,889,,,,,,,
0.000902654,889,,,,,,,
0.000857521,889,,,,,,,
0.000814645,889,,,,,,,
0.000773913,889,,,,,,,
0.000735217,889,,,,,,,
0.000698457,888,,,,,,,
0.000663534,888,,,,,,,
0.000630357,888,,,,,,,
0.000598839,888,,,,,,,
0.000568897,888,,,,,,,
0.000540452,888,,,,,,,
0.00051343,888,,,,,,,
0.000487758,887,,,,,,,
0.00046337,886,,,,,,,
0.000440202,886,,,,,,,
0.000418192,886,,,,,,,
0.000397282,886,,,,,,,
0.000377418,886,,,,,,,
0.000358547,886,,,,,,,
0.00034062,885,,,,,,,
0.000323589,885,,,,,,,
0.000307409,885,,,,,,,
0.000292039,885,,,,,,,
0.000277437,885,,,,,,,
0.000263565,885,,,,,,,
0.000250387,885,,,,,,,
0.000237867,885,,,,,,,
0.000225974,884,,,,,,,
0.000214675,884,,,,,,,
